BillNo,Date,Customer,Discount 5%,Discount 12%,Discount 18%,Discount 28%
ZA8180,01-04-2017,"TIRUVALLA MEDICAL MISSION, THIRUVALLA",#N/A,#N/A,#N/A,1
ZA8169,01-04-2017,"BELIEVERS CHURCH, MEDICAL COLLEGE HOSPITAL",#N/A,#N/A,1,#N/A
ZA8177,01-04-2017,"KADAVIL MEDICALS, MANNAR",#N/A,#N/A,#N/A,1
ZA8172,01-04-2017,"S.N.MEDICALS, KADAPRA",#N/A,#N/A,#N/A,1
ZA8173,01-04-2017,"BHARATH MEDICALS, KIZHAKENMUTTOOR",#N/A,#N/A,#N/A,1
ZA8181,01-04-2017,"KIZHAKINATH MEDICALS, PAIPPAD",#N/A,#N/A,#N/A,1
ZA8183,01-04-2017,"JAI MEDICALS, THIRUVALLA",#N/A,#N/A,#N/A,1
ZA8182,01-04-2017,"DEEPTHI MEDICALS, MANNAR",#N/A,#N/A,#N/A,1
ZA8176,01-04-2017,"MANNAR MEDICALS, MANNAR",#N/A,#N/A,#N/A,1
ZA8168,01-04-2017,"BELIEVERS CHURCH, MEDICAL COLLEGE HOSPITAL",#N/A,#N/A,#N/A,1
ZA8171,01-04-2017,"FELLOWSHIP MISSION HOSPITAL, KUMBANAD",#N/A,#N/A,#N/A,1
ZA8179,01-04-2017,"ST.GREGORIOUS HOSPITAL, PARUMALA",#N/A,#N/A,#N/A,1
ZA8184,01-04-2017,"ANJALI MEDICALS, THIRUVALLA",#N/A,#N/A,#N/A,1
ZA8190,03-04-2017,"KANNAMPALLIL MEDICALS, THENGANA",#N/A,#N/A,#N/A,1
ZA8200,03-04-2017,"MUTHOOT MEDICAL CENTRE, KOZHENCHERRY",#N/A,#N/A,#N/A,1
ZA8195,03-04-2017,"PUSHPAGIRI MEDICAL SOCIETY, PUSHPAGIRI MEDICAL COLLEGE",#N/A,#N/A,#N/A,1
ZA8201,03-04-2017,"MUTHOOT MEDICAL CENTRE, KOZHENCHERRY",#N/A,#N/A,#N/A,1
ZA8198,03-04-2017,"AISWARYA MEDICALS, KUTOOR",#N/A,#N/A,#N/A,1
ZA8189,03-04-2017,"THOMSON MEDICALS, THENGANA",#N/A,#N/A,#N/A,1
ZA8199,03-04-2017,"J M J MEDICALS, LAIKADU",#N/A,#N/A,#N/A,1
ZA8186,03-04-2017,"DR.K.M.THOMAS ORENT CLINIC, THIRUVALLA",#N/A,#N/A,#N/A,1
ZA8187,03-04-2017,"DR.K.M.THOMAS{ ORENT CLINIC}, CHENGANNOOR",#N/A,#N/A,#N/A,1
ZA8224,04-04-2017,"MODERN DRUG HOUSE, PATHANAMTHITTA",#N/A,#N/A,#N/A,1
ZA8218,04-04-2017,"NEETHI MEDICALS(SCB 195), MEMANA BUILDING.PULLAD",#N/A,#N/A,1,#N/A
ZA8237,04-04-2017,"ST.LUKE HOSPITAL, PATHANAMTHITTA",#N/A,#N/A,#N/A,1
ZA8238,04-04-2017,"THOMSON MEDICALS, TIRUVALLA",#N/A,#N/A,#N/A,1
ZA8243,04-04-2017,"NEETHI MEDICALS, NEDUMKUNNAM",#N/A,#N/A,#N/A,1
ZA8208,04-04-2017,"MADAPPALLIL MEDICALS, OPPOSITE GOVT.HOSPITAL",#N/A,#N/A,#N/A,1
ZA8216,04-04-2017,"DEEPTHI MEDICALS, KAYAMKULAM",#N/A,#N/A,1,#N/A
ZA8232,04-04-2017,"S.D MEDICALS, CHENGANNUR",#N/A,#N/A,#N/A,1
ZA8211,04-04-2017,"SAM MEDICALS, PATHANAMTHITTA",#N/A,#N/A,#N/A,1
ZA8239,04-04-2017,"PHILIPS MEDICALS, NELLAD",#N/A,#N/A,#N/A,1
ZA8206,04-04-2017,"KANJIRAMON MEDICALS, KOZHENCHERRY",#N/A,#N/A,#N/A,1
ZA8235,04-04-2017,"M.G.M. MEDICALS, PATHANAMTHITTA",#N/A,#N/A,#N/A,1
ZA8212,04-04-2017,"MUTTUMON MEDICALS, KUMBANAD",#N/A,#N/A,#N/A,1
ZA8229,04-04-2017,"FELLOWSHIP MISSION HOSPITAL, KUMBANAD",#N/A,#N/A,#N/A,1
ZA8242,04-04-2017,"MEDICAL TRUST HOSPITAL, KULANADA",#N/A,#N/A,#N/A,1
ZA8240,04-04-2017,"PULOOR DRUG HOUSE, KOZHENCHERRY",#N/A,#N/A,#N/A,1
ZA8202,04-04-2017,"TIRUVALLA MEDICAL MISSION, THIRUVALLA",#N/A,#N/A,#N/A,1
ZA8219,04-04-2017,"NEETHI MEDICALS(SCB 195), MEMANA BUILDING.PULLAD",#N/A,#N/A,#N/A,1
ZA8236,04-04-2017,"ZZZNEETHI MEDICAL STORE, ",#N/A,#N/A,#N/A,1
ZA8233,04-04-2017,"KUMBANAD MEDICALS, KUMBANAD",#N/A,#N/A,#N/A,1
